Ancho,Parte,Operador,Ensayo
14.027,P1,A,E1
14.028,P2,A,E1
14.028,P3,A,E1
14.029,P4,A,E1
14.028,P5,A,E1
14.028,P6,A,E1
14.027,P7,A,E1
14.027,P8,A,E1
14.028,P9,A,E1
14.028,P10,A,E1
14.024,P1,A,E2
14.025,P2,A,E2
14.027,P3,A,E2
14.025,P4,A,E2
14.026,P5,A,E2
14.025,P6,A,E2
14.025,P7,A,E2
14.026,P8,A,E2
14.027,P9,A,E2
14.025,P10,A,E2
14.034,P1,B,E1
14.033,P2,B,E1
14.032,P3,B,E1
14.034,P4,B,E1
14.032,P5,B,E1
14.032,P6,B,E1
14.033,P7,B,E1
14.032,P8,B,E1
14.033,P9,B,E1
14.033,P10,B,E1
14.035,P1,B,E2
14.034,P2,B,E2
14.035,P3,B,E2
14.033,P4,B,E2
14.034,P5,B,E2
14.033,P6,B,E2
14.034,P7,B,E2
14.035,P8,B,E2
14.034,P9,B,E2
14.035,P10,B,E2
